SQUAD,ZONA,BASE_USUARIOS,TARGET_ACUM,ORDENES_TOTALES,ORDENES_INORGANICAS,PCT_CONVERSION,PCT_VS_TARGET,SPEND_LOCAL,CPO_INORGANICO,CPO_TOTAL
RESURECTION,Monte Grande,16152,401,383,123,2.37,95.5,354,3,1
RESURECTION,Moron - El Palomar,56517,654,631,277,1.12,96.5,909,3,1
RESURECTION,Munro,29067,452,401,150,1.38,88.7,457,3,1
RESURECTION,Neuquen Centro,32894,412,558,18,1.70,135.4,59,3,0
RESURECTION,Nordelta,17072,178,187,22,1.10,105.1,83,4,0
RESURECTION,PACHECO,8935,141,112,11,1.25,79.4,38,3,0
RESURECTION,PILAR,9206,41,62,13,0.67,151.2,52,4,1
RESURECTION,Palermo,309076,3247,3640,1057,1.18,112.1,3731,4,1
RESURECTION,Parana,21211,336,324,158,1.53,96.4,410,3,1
RESURECTION,Parque Leloir,33166,175,195,18,0.59,111.4,57,3,0
RESURECTION,Plaza italia,106816,1309,1474,494,1.38,112.6,1692,3,1
RESURECTION,Posadas,13004,160,128,62,0.98,80,166,3,1
RESURECTION,Quilmes,21858,282,293,125,1.34,103.9,346,3,1
RESURECTION,RESISTENCIA,9643,93,85,50,0.88,91.4,138,3,2
RESURECTION,RIO_CUARTO,8108,110,130,67,1.60,118.2,171,3,1
RESURECTION,Ramos,65838,754,886,334,1.35,117.5,1124,3,1
RESURECTION,Ranelagh - Hudson,71,16,15,6,21.13,93.8,22,4,1
RESURECTION,Rosario (Centro),145178,892,4084,1635,2.81,457.8,4741,3,1
RESURECTION,Rosario Belgrano,8412,153,227,24,2.70,148.4,68,3,0
RESURECTION,Rosario Fisherton,230,39,58,17,25.22,148.7,51,3,1
RESURECTION,Rosario Funes,1,5,62,22,6200.00,1240,66,3,1
RESURECTION,Rosario Norte,5646,75,376,70,6.66,501.3,181,3,0
RESURECTION,Rosario Shopping,34388,466,1584,662,4.61,339.9,1828,3,1
RESURECTION,Rosario Sur,13856,239,566,200,4.08,236.8,520,3,1
RESURECTION,Ruta 20,78252,206,220,21,0.28,106.8,68,3,0
RESURECTION,SANTIAGO_DEL_ESTERO,6116,100,75,38,1.23,75,100,3,1
RESURECTION,SAN_JUAN_NORTE,8369,99,107,47,1.28,108.1,125,3,1
RESURECTION,SAN_JUAN_OESTE,5528,64,77,42,1.39,120.3,113,3,1
RESURECTION,SAN_JUAN_SUR,2409,29,29,8,1.20,100,21,3,1
RESURECTION,SAN_LUIS,12299,204,158,81,1.28,77.5,216,3,1
RESURECTION,SAN_RAFAEL,3489,7,8,0,0.23,114.3,0,,0
RESURECTION,Sabattini Altamira,13898,192,213,58,1.53,110.9,163,3,1
RESURECTION,Salta_Centro,31726,221,218,105,0.69,98.6,342,3,2
RESURECTION,Salta_Tres_Cerritos,8907,66,68,28,0.76,103,87,3,1
RESURECTION,San Fernando - Tigre,37457,500,430,173,1.15,86,569,3,1
RESURECTION,San Isidro - Victoria,98712,1032,1007,358,1.02,97.6,1223,3,1
RESURECTION,San Justo - Villa Madero,39722,580,630,206,1.59,108.6,601,3,1
RESURECTION,San Miguel,23743,180,199,21,0.84,110.6,68,3,0
RESURECTION,Santa Fe,21090,134,335,150,1.59,250,462,3,1
RESURECTION,TANDIL,10155,144,165,79,1.62,114.6,216,3,1
RESURECTION,Talleres,7018,115,142,9,2.02,123.5,27,3,0
RESURECTION,Tucuman,76971,426,384,190,0.50,90.1,617,3,2
RESURECTION,Urquiza - Saavedra,141191,1860,2042,675,1.45,109.8,2215,3,1
RESURECTION,VILLA_ALLENDE,1504,30,27,1,1.80,90,4,4,0
RESURECTION,Valle Escondido,2812,54,80,28,2.84,148.1,84,3,1
RESURECTION,Vicente Lopez - Olivos,82261,982,1053,317,1.28,107.2,1089,3,1
RESURECTION,Villa Ballester,43118,552,613,241,1.42,111.1,742,3,1
RESURECTION,Yerba Buena,14810,37,18,6,0.12,48.6,19,3,1
RESURECTION,,34749,,0,0,0.00,,0,,
